,time,8_flow,7_flow,9_flow,OvF1_flow,OvF2_flow,P1J_flooding,P2J_flooding,PJ3_flooding,P1_depthN,P2_depthN,norfolk_airport_total_precip
0,1995-02-15 07:15:00,3.9077763428435777,0.07422553533002704,0.06280425953463348,0.0,0.0,0.0,0.0,0.0,0.9944444132357462,0.9950843719382364,0.007667924
1,1995-02-15 07:30:00,0.0,0.1312252363258671,0.10268782190132661,0.0,0.0,0.020392947661464694,0.0242355442628953,0.0,0.9833642113324056,0.9855280892840126,0.007667924
2,1995-02-15 07:45:00,1.9540539262972663,0.186344679349911,0.1799227232165221,0.0,0.0,0.0,0.0,0.0,0.9723460522237481,0.9761998541073724,0.007667924
3,1995-02-15 08:00:00,15.748603378581107,0.035768935351569664,0.0,0.0,0.0,0.0,0.018766284792327427,0.0,0.9613900597053119,0.9665749894296467,0.007667924
4,1995-02-15 08:15:00,0.0033118568025981648,0.17767473532306519,0.14085546497690496,0.0,0.0,0.014368616547986587,0.03812919592012535,0.0,0.9504876514124334,0.9568017705008871,1.016
5,1995-02-15 08:30:00,0.0015299943132072277,0.07934097695024911,0.07794272528882654,0.0,0.0,0.0,0.0,0.0,0.9398158782505532,0.9477688280389713,1.016
6,1995-02-15 08:45:00,0.0018106097289954947,0.19365916201862168,0.18887870032649712,0.0,0.0,0.0,0.0,0.0,0.9295358658932559,0.9390691209583064,1.016
7,1995-02-15 09:00:00,0.0022166622041293756,0.14085546497690496,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.9196420794679894,0.9308819332009209,1.016
8,1995-02-15 09:15:00,0.0026133014487698344,0.08614257420263237,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.9101325941285743,0.9229630324758132,1.524
9,1995-02-15 09:30:00,0.0030247424169892578,0.18968390738418361,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.9018802923525628,0.9163657204516842,1.524
10,1995-02-15 09:45:00,0.0035114791678081177,0.14085546497690496,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.8957528979952942,0.9120033452117512,1.524
11,1995-02-15 10:00:00,0.004020497886078202,0.05016043509033382,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.8917381119872333,0.909860463434934,1.524
12,1995-02-15 10:15:00,0.004499206772651558,0.18351674144276225,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.8898235831231227,0.9099215914455228,1.778
13,1995-02-15 10:30:00,0.005084121202972027,0.05311263692538135,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.8916610629181446,0.9139064544855622,1.778
14,1995-02-15 10:45:00,0.005610930558499655,0.19375112370144204,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.8988926497734533,0.9235229781072853,1.778
15,1995-02-15 11:00:00,0.0062667175045419965,0.042296695771098666,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.9114869227229554,0.9387326352142731,1.778
16,1995-02-15 11:15:00,0.006852031524184414,0.18685482854626423,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.9294131103576724,0.9594982441910123,1.27
17,1995-02-15 11:30:00,0.007570617464288681,0.08726386738695724,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.9518055087281011,0.9848655182813785,1.27
18,1995-02-15 11:45:00,0.008262316784054742,0.19017836570655966,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,0.9778041547659475,1.0138880293196373,1.27
19,1995-02-15 12:00:00,0.009105624668567494,0.07044183875701027,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,1.00739060623512,1.0465458115828854,1.27
20,1995-02-15 12:15:00,0.009838060707496746,0.1904266657379674,0.10160075967738198,0.0,0.0,0.0,0.0,0.0,1.0405473027456598,1.082722277268406,1.27
21,1995-02-15 12:30:00,0.010715955728952582,0.1338460476394367,0.18438886092814666,0.0,0.0,0.0,0.0,0.0,1.0770403109141438,1.1222820340650734,1.27
22,1995-02-15 12:45:00,0.011681139532993023,0.15170957194948942,0.14085546497690496,0.0,0.0,0.0,0.0,0.0,1.1166377167504646,1.165069182974202,1.27
23,1995-02-15 13:00:00,0.012665443107958444,0.1348916641851762,0.12400262457728044,0.0,0.0,0.0,0.0,0.0,1.159326819837906,1.2108509655018869,1.27
24,1995-02-15 13:15:00,0.0136754273081334,0.17028805495206828,0.1643268722877868,0.0,0.0,0.0,0.0,0.0,1.2050956681322293,1.259710523156627,0.762
25,1995-02-15 13:30:00,0.014788466570792396,0.12662405477922847,0.0546941986789469,0.0,0.0,0.0,0.0,0.0,1.2523220152774757,1.3099068596164525,0.762
26,1995-02-15 13:45:00,0.015799206337531096,0.18943524431918965,0.18611523512594627,0.0,0.0,0.0,0.0,0.0,1.299391980741651,1.3600319090128166,0.762
27,1995-02-15 14:00:00,0.01701396343298599,0.10739305721614914,0.12091108957439672,0.0,0.0,0.0,0.0,0.0,1.3463105859678597,1.410068603976001,0.762
28,1995-02-15 14:15:00,0.018219984487001527,0.1123870979252244,0.1885893467313224,0.0,0.0,0.03497816686834044,0.0,0.0,1.3930825932506874,1.4595434510024434,0.508
29,1995-02-15 14:30:00,0.019427398330515155,0.14085546497690496,0.055934135562215465,0.0,0.0,0.02039237812500277,0.0,0.0,1.4390993437406274,1.5079666942873855,0.508
30,1995-02-15 14:45:00,0.020545040848152545,0.14085546497690496,0.19033703307493058,0.0,0.0,0.008222653213149647,0.015433429460048517,0.0,1.4837567459285388,1.554871931321258,0.508
